,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,chg,close_price,history_volatility,id,last_close_price,listing_day,month1_volatility,month3_volatility,month6_volatility,nmc,share_code,share_market,share_name,share_pinyin,share_symbol,trade_day,updated_at,week_volatility,year_volatility,res,std_result,pay_amount_rate,c_sigma,c_S,c_K,c_r,c_T
30,30,30,32.0,32.0,32.0,32.0,-0.0092,21.6,0.0,1361.0,0.0,1994-05-09 00:00:00,49.28,58.73,55.45,77.0,34.0,sz,神州数码,szsm,sz000034,2017-09-28 00:00:00,2017-11-05 15:25:39,63.56,0.0,1.7388,0.0,0.0,63.56,21.6,21.6,3.73,2.0
31,31,31,33.0,33.0,33.0,33.0,0.0,6.72,0.0,1362.0,0.0,1994-04-08 00:00:00,26.64,23.56,30.49,0.0,35.0,sz,中国天楹,zgty,sz000035,2017-09-05 00:00:00,2017-11-05 15:25:39,21.59,0.0,0.3856,0.0,0.0,30.49,6.72,6.72,3.73,2.0
32,32,32,34.0,34.0,34.0,34.0,-0.017,9.26,0.0,1363.0,0.0,1994-06-17 00:00:00,40.62,47.94,47.57,104.0,36.0,sz,华联控股,hlkg,sz000036,2017-11-05 00:00:00,2017-11-05 15:25:39,27.16,0.0,0.6003,0.0,0.0,47.94,9.26,9.26,3.73,2.0
33,33,33,35.0,35.0,35.0,35.0,-0.0169,8.15,0.0,1364.0,0.0,1994-07-01 00:00:00,28.31,26.23,37.72,27.0,37.0,sz,深南电A,snda,sz000037,2017-11-05 00:00:00,2017-11-05 15:25:39,36.48,0.0,0.5433,0.0,0.0,37.72,8.15,8.15,3.73,2.0
34,34,34,36.0,36.0,36.0,36.0,0.0,19.78,0.0,1365.0,0.0,1994-08-08 00:00:00,43.7,32.98,40.67,0.0,38.0,sz,深大通,sdt,sz000038,2017-09-05 00:00:00,2017-11-05 15:25:39,41.52,0.0,1.5225,0.0,0.0,43.7,19.78,19.78,3.73,2.0
35,35,35,37.0,37.0,37.0,37.0,-0.0096,19.51,0.0,1366.0,0.0,1994-04-08 00:00:00,30.94,31.38,36.57,246.0,39.0,sz,中集集团,zjjt,sz000039,2017-11-05 00:00:00,2017-11-05 15:25:39,43.97,0.0,1.2305,0.0,0.0,43.97,19.51,19.51,3.73,2.0
36,36,36,38.0,38.0,38.0,38.0,0.0048,23.04,0.0,2709.0,0.0,2009-10-30 00:00:00,33.58,33.79,34.82,325.0,300003.0,sz,乐普医疗,lpyl,sz300003,2017-11-05 00:00:00,2017-11-05 15:25:09,27.91,0.0,1.1571,0.0,0.0,34.82,23.04,23.04,3.73,2.0
37,37,37,39.0,39.0,39.0,39.0,-0.0127,13.94,0.0,1.0,13.38,2003-04-28 00:00:00,31.02,26.06,29.91,288.0,600004.0,sh,白云机场,byjc,sh600004,2017-11-05 00:00:00,2017-11-05 15:25:05,30.7,0.0,0.6257,0.0,0.0,31.02,13.94,13.94,3.73,2.0
38,38,38,41.0,41.0,41.0,41.0,-0.0167,14.75,0.0,1367.0,0.0,1994-08-08 00:00:00,36.12,35.96,55.09,156.0,40.0,sz,东旭蓝天,dxlt,sz000040,2017-11-05 00:00:00,2017-11-05 15:25:39,31.93,0.0,1.096,0.0,0.0,55.09,14.75,14.75,3.73,2.0
39,39,39,42.0,42.0,42.0,42.0,-0.0209,15.94,0.0,1368.0,0.0,1994-09-21 00:00:00,18.74,23.25,23.15,77.0,42.0,sz,中洲控股,zzkg,sz000042,2017-11-05 00:00:00,2017-11-05 15:25:39,21.24,0.0,0.5716,0.0,0.0,23.25,15.94,15.94,3.73,2.0
40,40,40,43.0,43.0,43.0,43.0,0.0124,10.6,0.0,1369.0,0.0,1994-09-28 00:00:00,28.59,23.57,42.92,70.0,43.0,sz,中航地产,zhdc,sz000043,2017-11-05 00:00:00,2017-11-05 15:25:39,40.56,0.0,0.6529,0.0,0.0,42.92,10.6,10.6,3.73,2.0
41,41,41,44.0,44.0,44.0,44.0,-0.0122,10.52,0.0,1370.0,0.0,1994-08-15 00:00:00,38.22,40.21,50.39,48.0,45.0,sz,深纺织A,sfza,sz000045,2017-11-05 00:00:00,2017-11-05 15:25:39,42.72,0.0,0.7162,0.0,0.0,50.39,10.52,10.52,3.73,2.0
42,42,42,45.0,45.0,45.0,45.0,0.0013,7.77,0.0,1371.0,0.0,1994-09-12 00:00:00,17.11,16.81,21.74,395.0,46.0,sz,泛海控股,fhkg,sz000046,2017-11-05 00:00:00,2017-11-05 15:25:39,29.14,0.0,0.3283,0.0,0.0,29.14,7.77,7.77,3.73,2.0
43,43,43,46.0,46.0,46.0,46.0,0.0329,24.82,45.57,1372.0,0.0,1994-11-01 00:00:00,23.3,32.49,45.57,95.0,48.0,sz,康达尔,kde,sz000048,2017-11-05 00:00:00,2017-11-05 15:25:39,31.83,0.0,1.5311,0.0,0.0,45.57,24.82,24.82,3.73,2.0
44,44,44,47.0,47.0,47.0,47.0,0.0314,53.61,0.0,1373.0,0.0,1995-03-20 00:00:00,33.23,38.3,44.68,110.0,49.0,sz,德赛电池,dsdc,sz000049,2017-11-05 00:00:00,2017-11-05 15:25:40,36.7,0.0,3.2438,0.0,0.0,44.68,53.61,53.61,3.73,2.0
45,45,45,48.0,48.0,48.0,48.0,0.0,10.6,0.0,2710.0,0.0,2009-10-30 00:00:00,28.1,33.78,39.64,42.0,300004.0,sz,南风股份,nfgf,sz300004,2017-11-05 00:00:00,2017-11-05 15:25:09,24.42,0.0,0.6561,0.0,0.0,39.64,10.6,10.6,3.73,2.0
46,46,46,50.0,50.0,50.0,50.0,-0.0052,23.14,0.0,1374.0,0.0,1995-03-15 00:00:00,57.31,49.89,53.48,324.0,50.0,sz,深天马A,stma,sz000050,2017-11-05 00:00:00,2017-11-05 15:25:40,48.26,0.0,1.7875,0.0,0.0,57.31,23.14,23.14,3.73,2.0
47,47,47,51.0,51.0,51.0,51.0,-0.0113,7.0,0.0,1375.0,0.0,1996-04-15 00:00:00,32.05,33.84,39.95,47.0,55.0,sz,方大集团,fdjt,sz000055,2017-11-05 00:00:00,2017-11-05 15:25:40,20.98,0.0,0.4366,0.0,0.0,39.95,7.0,7.0,3.73,2.0
48,48,48,52.0,52.0,52.0,52.0,0.0068,13.27,0.0,1376.0,0.0,1996-07-08 00:00:00,37.99,31.51,30.44,37.0,56.0,sz,皇庭国际,htgj,sz000056,2017-10-31 00:00:00,2017-11-05 15:25:40,33.15,0.0,0.8223,0.0,0.0,37.99,13.27,13.27,3.73,2.0
49,49,49,53.0,53.0,53.0,53.0,0.0575,8.82,0.0,1377.0,0.0,1996-12-26 00:00:00,67.85,44.18,45.61,47.0,58.0,sz,深赛格,ssg,sz000058,2017-11-05 00:00:00,2017-11-05 15:25:40,79.04,0.0,0.9489,0.0,0.0,79.04,8.82,8.82,3.73,2.0
50,50,50,54.0,54.0,54.0,54.0,-0.0166,10.06,0.0,1378.0,0.0,1997-01-30 00:00:00,28.76,34.96,39.82,140.0,59.0,sz,华锦股份,hjgf,sz000059,2017-11-05 00:00:00,2017-11-05 15:25:40,21.06,0.0,0.5759,0.0,0.0,39.82,10.06,10.06,3.73,2.0
51,51,51,55.0,55.0,55.0,55.0,-0.003,6.66,0.0,2711.0,0.0,2009-10-30 00:00:00,28.77,25.22,31.29,42.0,300005.0,sz,探路者,tlz,sz300005,2017-11-05 00:00:00,2017-11-05 15:25:09,26.09,0.0,0.3467,0.0,0.0,31.29,6.66,6.66,3.73,2.0
52,52,52,56.0,56.0,56.0,56.0,-0.008,6.19,0.0,3.0,5.94,1999-07-27 00:00:00,45.1,36.06,32.07,123.0,600006.0,sh,东风汽车,dfqc,sh600006,2017-11-05 00:00:00,2017-11-05 15:25:05,38.54,0.0,0.378,0.0,0.0,45.1,6.19,6.19,3.73,2.0
53,53,53,58.0,58.0,58.0,58.0,-0.0217,10.83,0.0,1379.0,0.0,1997-01-23 00:00:00,28.06,45.79,42.04,239.0,60.0,sz,中金岭南,zjln,sz000060,2017-11-05 00:00:00,2017-11-05 15:25:40,29.26,0.0,0.6712,0.0,0.0,45.79,10.83,10.83,3.73,2.0
54,54,54,59.0,59.0,59.0,59.0,-0.011,8.12,0.0,1380.0,0.0,1997-01-10 00:00:00,29.71,30.08,28.64,137.0,61.0,sz,农产品,ncp,sz000061,2017-11-05 00:00:00,2017-11-05 15:25:40,31.68,0.0,0.372,0.0,0.0,31.68,8.12,8.12,3.73,2.0
55,55,55,60.0,60.0,60.0,60.0,-0.015,24.35,0.0,1381.0,0.0,1997-01-30 00:00:00,21.28,26.73,46.71,162.0,62.0,sz,深圳华强,szhq,sz000062,2017-11-05 00:00:00,2017-11-05 15:25:40,25.88,0.0,1.5389,0.0,0.0,46.71,24.35,24.35,3.73,2.0
56,56,56,61.0,61.0,61.0,61.0,0.0196,32.75,0.0,1382.0,0.0,1997-11-18 00:00:00,58.75,46.4,45.86,1124.0,63.0,sz,中兴通讯,zxtx,sz000063,2017-11-05 00:00:00,2017-11-05 15:25:40,43.44,0.0,2.5924,0.0,0.0,58.75,32.75,32.75,3.73,2.0
57,57,57,62.0,62.0,62.0,62.0,-0.025,22.62,0.0,1383.0,0.0,1998-06-05 00:00:00,44.04,36.58,53.82,90.0,65.0,sz,北方国际,bfgj,sz000065,2017-11-05 00:00:00,2017-11-05 15:25:40,41.44,0.0,1.6427,0.0,0.0,53.82,22.62,22.62,3.73,2.0
58,58,58,63.0,63.0,63.0,63.0,-0.0052,7.64,0.0,1384.0,0.0,1997-06-26 00:00:00,28.07,31.98,38.12,190.0,66.0,sz,中国长城,zgcc,sz000066,2017-11-05 00:00:00,2017-11-05 15:25:40,21.04,0.0,0.4191,0.0,0.0,38.12,7.64,7.64,3.73,2.0
59,59,59,64.0,64.0,64.0,64.0,0.0272,6.43,0.0,1385.0,0.0,1997-06-11 00:00:00,42.52,44.9,46.97,57.0,68.0,sz,华控赛格,hksg,sz000068,2017-11-05 00:00:00,2017-11-05 15:25:40,49.38,0.0,0.4291,0.0,0.0,49.38,6.43,6.43,3.73,2.0
60,60,60,65.0,65.0,65.0,65.0,-0.0257,8.73,0.0,1386.0,0.0,1997-09-10 00:00:00,27.54,33.59,34.65,536.0,69.0,sz,华侨城A,hqca,sz000069,2017-11-05 00:00:00,2017-11-05 15:25:41,34.66,0.0,0.4365,0.0,0.0,34.66,8.73,8.73,3.73,2.0
61,61,61,66.0,66.0,66.0,66.0,-0.0132,17.96,0.0,4.0,19.84,1999-03-12 00:00:00,15.92,15.04,22.01,180.0,600007.0,sh,中国国贸,zggm,sh600007,2017-11-05 00:00:00,2017-11-05 15:25:05,20.77,0.0,0.6111,0.0,0.0,22.01,17.96,17.96,3.73,2.0
62,62,62,68.0,68.0,68.0,68.0,-0.0103,10.58,0.0,1387.0,0.0,2000-05-11 00:00:00,41.52,37.84,41.13,57.0,70.0,sz,特发信息,tfxx,sz000070,2017-11-05 00:00:00,2017-11-05 15:25:41,39.59,0.0,0.6309,0.0,0.0,41.52,10.58,10.58,3.73,2.0
63,63,63,69.0,69.0,69.0,69.0,-0.0163,6.05,0.0,1388.0,0.0,1998-12-18 00:00:00,33.81,35.18,32.5,112.0,78.0,sz,海王生物,hwsw,sz000078,2017-11-05 00:00:00,2017-11-05 15:25:41,22.27,0.0,0.3069,0.0,0.0,35.18,6.05,6.05,3.73,2.0
